variable,importance,rank,cumulative
l_CLI5,0.20540344019087087,1,0.20540344019087087
l_CLI29,0.20200943951438158,2,0.4074128797052524
l_TOP109,0.16928029386464538,3,0.5766931735698978
l_CLI21,0.16096377496395908,4,0.7376569485338569
l_SOL23,0.0642774039474587,5,0.8019343524813156
l_CLI30,0.028688963646237717,6,0.8306233161275534
l_CLI49,0.028434953314704716,7,0.859058269442258
l_SOL29,0.023504234834396242,8,0.8825625042766543
l_SOL7,0.017642355600334347,9,0.9002048598769886
l_SOL59,0.016575451953602632,10,0.9167803118305913
l_TOP39,0.014321409880018133,11,0.9311017217106095
l_SOL60,0.012736153126479657,12,0.9438378748370891
l_CLI25,0.012472866137373449,13,0.9563107409744626
l_SOL22,0.010083561179246935,14,0.9663943021537095
u_TOP47,0.008146201032004313,15,0.9745405031857138
l_CLI18,0.007911384948104687,16,0.9824518881338186
u_SOL55,0.0048459029069051595,17,0.9872977910407237
u_CLI75,0.004182966588491106,18,0.9914807576292148
l_TOP38,0.0034757428731860226,19,0.9949565005024008
l_TOP129,0.003279384984703127,20,0.998235885487104
l_SOL28,0.0015716664371868791,21,0.9998075519242908
l_TOP89,0.0001924480757092094,22,1.0
l_TOP91,0.0,23,1.0
l_TOP93,0.0,24,1.0
u_TOP135,0.0,25,1.0
l_TOP97,0.0,26,1.0
l_TOP101,0.0,27,1.0
l_TOP102,0.0,28,1.0
l_TOP103,0.0,29,1.0
l_TOP104,0.0,30,1.0
u_TOP103,0.0,31,1.0
u_TOP95,0.0,32,1.0
l_TOP105,0.0,33,1.0
l_TOP106,0.0,34,1.0
l_TOP107,0.0,35,1.0
l_TOP134,0.0,36,1.0
l_TOP135,0.0,37,1.0
l_TOP137,0.0,38,1.0
l_TOP138,0.0,39,1.0
l_TOP139,0.0,40,1.0
l_TOP140,0.0,41,1.0
l_TOP141,0.0,42,1.0
l_TOP142,0.0,43,1.0
u_TOP67,0.0,44,1.0
u_TOP63,0.0,45,1.0
l_TOP143,0.0,46,1.0
l_TOP144,0.0,47,1.0
u_CLI3,0.0,48,1.0
u_CLI7,0.0,49,1.0
u_TOP59,0.0,50,1.0
l_TOP92,0.0,51,1.0
u_TOP39,0.0,52,1.0
u_CLI11,0.0,53,1.0
l_TOP53,0.0,54,1.0
u_TOP139,0.0,55,1.0
l_TOP40,0.0,56,1.0
l_TOP42,0.0,57,1.0
l_TOP43,0.0,58,1.0
l_TOP44,0.0,59,1.0
l_TOP46,0.0,60,1.0
l_TOP47,0.0,61,1.0
l_TOP48,0.0,62,1.0
l_TOP49,0.0,63,1.0
l_TOP50,0.0,64,1.0
l_TOP51,0.0,65,1.0
l_TOP52,0.0,66,1.0
l_TOP54,0.0,67,1.0
l_TOP85,0.0,68,1.0
l_TOP59,0.0,69,1.0
l_TOP61,0.0,70,1.0
l_TOP65,0.0,71,1.0
l_TOP66,0.0,72,1.0
l_TOP67,0.0,73,1.0
l_TOP68,0.0,74,1.0
l_TOP69,0.0,75,1.0
l_TOP73,0.0,76,1.0
l_TOP74,0.0,77,1.0
l_TOP75,0.0,78,1.0
l_TOP76,0.0,79,1.0
l_TOP79,0.0,80,1.0
l_TOP90,0.0,81,1.0
u_CLI15,0.0,82,1.0
u_TOP35,0.0,83,1.0
u_LAC20,0.0,84,1.0
u_SOL3,0.0,85,1.0
u_SOL11,0.0,86,1.0
u_SOL15,0.0,87,1.0
u_SOL19,0.0,88,1.0
u_SOL7,0.0,89,1.0
u_SOL39,0.0,90,1.0
u_SOL43,0.0,91,1.0
u_SOL27,0.0,92,1.0
u_SOL31,0.0,93,1.0
u_SOL23,0.0,94,1.0
u_SOL47,0.0,95,1.0
u_TOP51,0.0,96,1.0
u_SOL59,0.0,97,1.0
u_SOL35,0.0,98,1.0
u_TOP110,0.0,99,1.0
u_TOP112,0.0,100,1.0
u_TOP114,0.0,101,1.0
u_TOP117,0.0,102,1.0
u_TOP119,0.0,103,1.0
u_TOP122,0.0,104,1.0
u_TOP3,0.0,105,1.0
u_TOP11,0.0,106,1.0
u_TOP15,0.0,107,1.0
u_TOP43,0.0,108,1.0
u_TOP19,0.0,109,1.0
u_TOP27,0.0,110,1.0
u_TOP31,0.0,111,1.0
u_LAC21,0.0,112,1.0
u_LAC19,0.0,113,1.0
u_CLI19,0.0,114,1.0
u_LAC18,0.0,115,1.0
u_CLI23,0.0,116,1.0
u_CLI27,0.0,117,1.0
u_CLI31,0.0,118,1.0
u_CLI35,0.0,119,1.0
u_CLI43,0.0,120,1.0
u_CLI47,0.0,121,1.0
u_CLI51,0.0,122,1.0
u_CLI55,0.0,123,1.0
l_TOP32,0.0,124,1.0
u_CLI59,0.0,125,1.0
u_CLI67,0.0,126,1.0
u_CLI71,0.0,127,1.0
u_TOP55,0.0,128,1.0
u_TOP126,0.0,129,1.0
u_LAC1,0.0,130,1.0
u_LAC2,0.0,131,1.0
u_LAC3,0.0,132,1.0
u_LAC4,0.0,133,1.0
u_LAC6,0.0,134,1.0
u_LAC7,0.0,135,1.0
u_LAC8,0.0,136,1.0
u_LAC9,0.0,137,1.0
u_LAC10,0.0,138,1.0
u_LAC11,0.0,139,1.0
u_LAC12,0.0,140,1.0
u_LAC13,0.0,141,1.0
u_LAC15,0.0,142,1.0
l_CLI1,0.0,143,1.0
l_TOP17,0.0,144,1.0
l_TOP28,0.0,145,1.0
l_SOL3,0.0,146,1.0
l_LAC3,0.0,147,1.0
l_LAC4,0.0,148,1.0
l_LAC6,0.0,149,1.0
l_LAC7,0.0,150,1.0
l_LAC9,0.0,151,1.0
l_LAC10,0.0,152,1.0
l_LAC11,0.0,153,1.0
l_LAC12,0.0,154,1.0
l_LAC13,0.0,155,1.0
l_LAC19,0.0,156,1.0
l_LAC21,0.0,157,1.0
l_SOL1,0.0,158,1.0
l_SOL2,0.0,159,1.0
l_SOL4,0.0,160,1.0
l_TOP131,0.0,161,1.0
l_SOL9,0.0,162,1.0
l_SOL10,0.0,163,1.0
l_SOL11,0.0,164,1.0
l_SOL12,0.0,165,1.0
l_SOL13,0.0,166,1.0
l_SOL14,0.0,167,1.0
l_SOL15,0.0,168,1.0
l_SOL16,0.0,169,1.0
l_SOL17,0.0,170,1.0
l_SOL18,0.0,171,1.0
l_SOL19,0.0,172,1.0
l_SOL20,0.0,173,1.0
l_SOL5,0.0,174,1.0
l_LAC1,0.0,175,1.0
l_TOP130,0.0,176,1.0
l_TOP27,0.0,177,1.0
l_CLI41,0.0,178,1.0
l_CLI4,0.0,179,1.0
l_CLI8,0.0,180,1.0
l_CLI9,0.0,181,1.0
l_CLI12,0.0,182,1.0
l_CLI13,0.0,183,1.0
l_CLI16,0.0,184,1.0
l_CLI17,0.0,185,1.0
l_CLI24,0.0,186,1.0
l_CLI28,0.0,187,1.0
l_CLI32,0.0,188,1.0
l_CLI33,0.0,189,1.0
l_CLI34,0.0,190,1.0
l_CLI36,0.0,191,1.0
l_CLI45,0.0,192,1.0
l_TOP128,0.0,193,1.0
l_CLI48,0.0,194,1.0
l_CLI53,0.0,195,1.0
l_CLI56,0.0,196,1.0
l_CLI57,0.0,197,1.0
l_CLI60,0.0,198,1.0
l_CLI69,0.0,199,1.0
l_CLI72,0.0,200,1.0
l_CLI73,0.0,201,1.0
l_CLI76,0.0,202,1.0
l_TOP124,0.0,203,1.0
l_TOP125,0.0,204,1.0
l_TOP126,0.0,205,1.0
l_TOP127,0.0,206,1.0
l_SOL6,0.0,207,1.0
l_SOL8,0.0,208,1.0
l_SOL37,0.0,209,1.0
l_TOP7,0.0,210,1.0
l_TOP132,0.0,211,1.0
l_TOP115,0.0,212,1.0
l_TOP116,0.0,213,1.0
l_TOP117,0.0,214,1.0
l_TOP118,0.0,215,1.0
l_TOP119,0.0,216,1.0
l_TOP121,0.0,217,1.0
l_TOP123,0.0,218,1.0
l_TOP1,0.0,219,1.0
l_TOP2,0.0,220,1.0
l_TOP3,0.0,221,1.0
l_TOP4,0.0,222,1.0
