variable,importance,rank,cumulative
l_CLI5,0.03558404476917345,1,0.03558404476917345
l_TOP109,0.030462518237868868,2,0.06604656300704231
l_CLI29,0.02960312048554915,3,0.09564968349259147
l_CLI69,0.02740228954469236,4,0.12305197303728382
l_CLI30,0.026876280924284728,5,0.14992825396156856
l_TOP102,0.025099612224560468,6,0.17502786618612903
l_CLI49,0.023999655414403128,7,0.19902752160053216
l_CLI9,0.021260766346388644,8,0.22028828794692082
l_CLI21,0.019773385305702804,9,0.24006167325262362
l_CLI41,0.019556979439584527,10,0.25961865269220813
l_CLI13,0.019517163694366617,11,0.27913581638657475
l_CLI34,0.01920665828047087,12,0.2983424746670456
l_CLI45,0.018571238971379352,13,0.31691371363842497
l_CLI53,0.018010905363937905,14,0.33492461900236287
l_CLI73,0.017453056128486123,15,0.352377675130849
l_CLI33,0.0172410543877759,16,0.3696187295186249
u_CLI7,0.014668132719878912,17,0.38428686223850383
u_TOP114,0.011448115647321972,18,0.3957349778858258
l_CLI25,0.011152059554555808,19,0.40688703744038157
u_CLI51,0.010269137958510751,20,0.4171561753988923
u_CLI23,0.010091659045921318,21,0.4272478344448136
l_SOL59,0.010077190396660267,22,0.4373250248414739
u_CLI71,0.009900406552480477,23,0.4472254313939544
u_CLI31,0.009647353997991328,24,0.4568727853919457
u_CLI11,0.009350361894948022,25,0.46622314728689374
l_SOL23,0.009339382261172535,26,0.47556252954806627
l_SOL11,0.009017064429439416,27,0.48457959397750566
l_TOP101,0.008875347305748169,28,0.49345494128325385
u_TOP31,0.008164811358366782,29,0.5016197526416206
u_CLI43,0.008044958327913904,30,0.5096647109695345
u_CLI35,0.007905870405402214,31,0.5175705813749367
l_SOL9,0.00785431503934371,32,0.5254248964142805
l_SOL57,0.007786905974622691,33,0.5332118023889032
l_SOL21,0.007784214404629531,34,0.5409960167935327
l_SOL58,0.007560619900415,35,0.5485566366939477
u_CLI15,0.007556029486610061,36,0.5561126661805578
l_SOL3,0.007439728982399094,37,0.5635523951629569
l_CLI57,0.007226751726305788,38,0.5707791468892627
l_SOL7,0.007101542154753421,39,0.5778806890440161
l_SOL10,0.006812532521564953,40,0.5846932215655811
l_TOP53,0.006806843351849989,41,0.5915000649174311
l_CLI18,0.006605139594999894,42,0.598105204512431
l_TOP116,0.006339945071620569,43,0.6044451495840516
l_TOP115,0.006128568080207442,44,0.610573717664259
l_CLI17,0.006097555624613859,45,0.616671273288873
l_SOL15,0.006029618834974561,46,0.6227008921238475
u_CLI27,0.005924048836992586,47,0.6286249409608401
l_TOP54,0.005858077060732171,48,0.6344830180215723
l_TOP121,0.005844925013839646,49,0.6403279430354119
u_SOL7,0.005818476121568937,50,0.6461464191569808
l_SOL22,0.005791820256328904,51,0.6519382394133096
u_TOP55,0.0056323336571516645,52,0.6575705730704613
l_CLI2,0.005560686536424315,53,0.6631312596068856
u_SOL31,0.005351387705342172,54,0.6684826473122277
u_SOL11,0.005222383472257461,55,0.6737050307844852
u_TOP122,0.00512007712475124,56,0.6788251079092364
u_SOL23,0.005007968581390272,57,0.6838330764906267
l_TOP107,0.004993564754448535,58,0.6888266412450753
l_SOL6,0.004686080895635944,59,0.6935127221407112
l_SOL31,0.004615197128270608,60,0.6981279192689819
u_CLI59,0.004594361607951304,61,0.7027222808769332
l_SOL14,0.004510490759451411,62,0.7072327716363846
